Username,Verified,Bio,Date Joined,Following,Followers,Posts
morissanda,True,Ministre des Affaires Étrangères de l'Intégration Africaine et des Guinéens Établis à l'Étranger.,Joined June 2009,738,"9,048","1,250 posts"
AhmedAttaf_Dz,True,وزير الشؤون الخارجية والجالية الوطنية بالخارج -الجزائر Minister of Foreign Affairs and National Community Abroad-Algeria,,4,19.3K,18 posts
MSToure,False,,,,,1 post
DaherAhmedFara1,False,"Combattant de la liberté, chercheur et écrivain. Djibouti pour tous ses enfants",Joined December 2019,152,"1,856",268 posts
presi_doumbouya,True,Président de la République de Guinée,,3,17K,76 posts
JDMahama,True,"Official account of H.E. John Dramani Mahama, President of the Republic of Ghana.",,287,2.4M,"3,195 posts"
officialVM7,False,,,,,609 posts
MCTalata,False,Vice-présidente de la République,Joined March 2021,10,"3,516",88 posts
EltaishiHassan,False,"Politician, Senior Peace Fellow at PILPG and former Member of The Sovereignty Council of Sudan (collective Head of State).",Joined August 2019,199,147.9K,175 posts
HeTangaraM,False,"Minister for Foreign Affairs, International Cooperation and Gambians Abroad.",,27,525,95 posts
Dr_JNsengiyumva,True,Prime Minister of the Republic of Rwanda,Joined May 2025,19,"7,096",44 posts
KagutaMuseveni,True,President of the Republic of Uganda,Joined March 2010,23,3.6M,10.4K posts
BihiEgeh,True,"Minister of Finance, Federal Government of Somalia; Frm Minister of Labour | Member of Parliament | Alumni | Retweets aren’t endorsement",,954,12.3K,736 posts
LaazizFaidMF,True,"وزير المالية الجمهورية الجزائرية الديمقراطية الشعبية   -  
Ministre des Finances",Joined April 2023,8,118,11 posts
KoonNagbe,False,"Speaker of the 55th National Legislature
Republic of Liberia.",Joined April 2024,5,26,31 posts
PaulMotaze,False,"Ministre camerounais des finances, Homme Politique. ..",Joined January 2020,"1,106","1,794",0 posts
moloua_felix,True,Premier Ministre de la République Centrafricaine,Joined February 2022,"4,699","4,144",48 posts
MthuliNcube,False,"Minister of Finance, . Past Vice President & Chief Economist, . Professor, . PhD Economics(Mathematical Finance),",,0,288.1K,"4,954 posts"
SylvieBAIPO_RCA,True,"Bienvenue sur le compte officiel du Ministre des Affaires Etrangères, de la Francophonie et des Centrafricains de l'Etranger",,38,18.6K,548 posts
edmnangagwa,True,"Official Twitter account of Emmerson Dambudzo Mnangagwa, President of the Republic of Zimbabwe",Joined December 2011,60,1.1M,"1,510 posts"
rdussey,True,"Professor of Political Philosophy at University, Minister of Foreign Affairs of Togo/ Professeur de Philosophie Politique, Ministre des Affaires Etrangères.",Joined February 2013,403,63.3K,"4,157 posts"
WilliamsRuto,True,President of The Republic of Kenya.,,276,7M,20.4K posts
AngueSimeon,False,"Official Twitter account of the Minister of Foreign Affairs, International Cooperation and Diaspora of Equatorial Guinea",,50,"6,972",998 posts
JiwohA,True,"Minister of the Environment and Climate Change, Government of Sierra Leone.",,95,701,153 posts
jessica_alupo,True,"2nd female Vice President of the Republic of Uganda,MP, Wife, Proud Mother and Committed Servant of the People.",Joined June 2021,116,146K,"1,167 posts"
RailaOdinga,True,"This page is managed by The RAO Foundation in honor of the legacy of the Rt. Hon. Raila Amolo Odinga, CGH. Father, Prime Minister, Enigma, Hero, Baba. 1945-2025",,"4,693",4.9M,"9,372 posts"
AdalbertoCostaJ,True,Presidente da UNITA ( ); Vice-presidente do IDC-CDI ( ); Membro do Parlamento Pan-Africano ( ).,Joined January 2022,73,47.8K,633 posts
Dabaibahamid,True,رئيس مجلس الوزراء - ليبيا,,0,615.6K,"1,090 posts"
OVP_gm,False,Official X Account | Office of The Vice President (OVP) | The Gambia.,Joined March 2020,108,"2,575",731 posts
GenJejeOdongo,False,"MINISTER OF FOREIGN AFFAIRS, / Member of Parliament for Orungo County",Joined April 2021,277,"6,962","1,133 posts"
NyantiSara,True,"Minister of Foreign Affairs, Republic of Liberia",Joined February 2019,146,"5,741",907 posts
BakaryYaou,False,Ministre des affaires étrangères de la coopération et des nigériens à l’extérieur du Niger,,8,"1,340",107 posts
KamtoOfficiel,True,"Maurice Kamto, est un Homme Politique Camerounais.",Joined January 2018,26,192.9K,"1,012 posts"
TuliaAckson,False,Speaker of the National Assembly of Tanzania 2022 - |Deputy Speaker of the National Assembly 2015-2022 |16th Deputy Attorney General of Tanzania |Lawyer,Joined February 2017,66,154.9K,"1,653 posts"
FelixUdps,True,"This is an official Twitter account of the Democratic Republic of Congo President, Felix Tshisekedi. All info and quotes have been approved for use by the media",Joined December 2018,234,35.6K,234 posts
PR_AZALI,True,Président de l',Joined October 2022,111,"9,073",204 posts
ALafidpc,False,نائب بالمجلس الرئاسي الليبي Vice President of the Libyan Presidential Council,Joined February 2021,0,18.1K,318 posts
CapitaineIb226,True,"Président du Faso, Chef de l'Etat",Joined December 2022,0,415.6K,106 posts
julius_maadabio,True,"The official Twitter account of H.E. Julius Maada Wonie Bio, the current and the 5th President of the Republic of Sierra Leone.",Joined April 2018,44,253.3K,"2,079 posts"
TunduALissu,True,National Chairman | Former President of the Tanganyika Law Society | Activist,Joined March 2019,305,827.2K,"1,573 posts"
RussellMDlamini,True,Prime Minister of the Kingdom of Eswatini.,Joined November 2023,1,"3,627","1,565 posts"
dion_ngute,False,"premier ministre chef du gouvernement camerounais actuel,né le 12 mars 1954 dans le sud ouest Cameroun à barombi",,31,955,8 posts
rouamba_olivia,False,"Ministre des Affaires Étrangères , de la Coopération Régionale et des Burkinabè de l'Extérieur",,1,615,92 posts
CyrilRamaphosa,True,President of the African National Congress. President of the Republic of South Africa. Chair of the African Union 2020.,,10,3M,18.8K posts
BarrowPresident,True,Official Twitter of the President of the Republic of The Gambia,,30,95.7K,513 posts
A_Kamil_Mohamed,True,Premier ministre de la République de Djibouti,Joined January 2016,278,18.3K,861 posts
PrdaoudaN,True,"Ancien Ministre de l'Environnement et de la Transition Écologique.  Actuel Ministre de l’Enseignement supérieur, de la recherche et de l’innovation du Sénégal",Joined March 2023,9,"3,931",34 posts
Speaker_Abbas,False,Speaker of Nigeria's 10th House of Representatives.,Joined August 2022,13,43K,971 posts
MBawumia,True,"Official Twitter account of Dr. Mahamudu Bawumia, Former Vice President of the Republic of Ghana.",Joined March 2012,25,763.6K,"4,835 posts"
Ahmed_shide1,False,The Ministry of Finance is a Ministry within the Government of Ethiopia responsible for Public Finance Management and Economic Cooperation .,,361,714,143 posts
UlissesCorreiaa,False,Prime Minister of Cabo Verde,Joined January 2022,91,"1,261",75 posts
PaulMashatile,False,"Official Twitter account of the Chairperson of ANC in Gauteng. MEC of Gauteng Department of Human Settlements, Cooperative Governance and Traditional Affairs.",,34,71.9K,225 posts
FEGnassingbe,True,Président du Conseil.,,152,250.2K,"2,947 posts"
shegunbakari,True,"30th Minister of Foreign Affairs of the Republic of Benin. Proud Dad of Iyanu, Fèmi & Shola. My tweets are signed SAB.",Joined April 2012,602,"5,666","2,546 posts"
USEmbalo,True,"Presidente da República da Guiné Bissau,  Presidente do ALMA desde Setembro de 2022.",Joined March 2021,400,45.7K,498 posts
keorapetsedlk,False,Speaker-Parliament of Botswana,Joined September 2012,131,37.8K,"1,309 posts"
GoitaAssimi,True,"Président de la Transition, Chef de l´État.",Joined January 2021,668,596.8K,280 posts
TahirHamidN,False,"Ministre d’Etat, Ministre des Finances, du Budget, de l’Economie et du Plan - Republique du Tchad",,131,19.3K,357 posts
GeneralNeva,True,Président de la République du (2020-2027).,Joined August 2016,13,248.6K,"1,087 posts"
MessaoudaBaham,False,,,,,
TebbouneAmadjid,True,رئيس الجمهورية الجزائرية الديمقراطية الشعبية,,25,2.1M,245 posts
ThokoDidiza,True,South African politician. Former Minister of Agriculture and Land Affairs. Once  Minister of Public Works. Currently an MP,Joined June 2016,4,"2,655",1 post
HamzaAbdiBarre,True,The Official Twitter Account of the Prime Minister of the Federal Republic of Somalia.,Joined June 2022,2,149.4K,337 posts
yusuf_murangwa,False,Minister of Finance and Economic Planning Rwanda,Joined November 2015,143,"1,514",31 posts
AbdourazakIBRA3,False,"Ministre des Finances , du Budget et du secteur Bancaire Union des Comores",Joined October 2022,195,342,129 posts
sarandji,False,Président de l'Assemblée Nationale de la République Centrafricaine,Joined February 2022,"1,826","2,249",14 posts
moustadroine,False,Président de l'Assemblée Nationale du Comore,Joined November 2022,594,114,2 posts
FA_Touadera,True,Official account of the President of the Central African Republic.,Joined February 2022,116,48.4K,636 posts
TayeAtske,True,"President of The Federal Democratic Republic of Ethiopia ; Former Foreign Minister, Ambassador and Permanent Representative of Ethiopia to the UN.",Joined August 2014,545,286.9K,"2,949 posts"
SKIKhama,False,4th President Of Botswana,Joined November 2018,2,10.5K,84 posts
TnPresidency,True,Official account of the Tunisian Presidency - الحساب الرسمي لرئاسة الجمهورية التونسية,Joined January 2012,3,387.3K,"7,501 posts"
WadagniRomuald,True,"Ministre d’État, Ministre de l’Économie et des Finances du Bénin,  en charge de la Coopération.",Joined October 2021,116,10.9K,180 posts
PaulKagame,True,"President of the Republic of Rwanda, write to: paulkagame@gov.rw",Joined May 2009,257,3.3M,"3,080 posts"
daniel_chapo24,True,Presidente da República de Moçambique,Joined May 2024,1,"4,452",437 posts
AlsisiOfficial,True,الحساب الرسمي للرئيس عبدالفتاح السيسي رئيس جمهورية مصر العربية,Joined March 2014,0,6.3M,"3,057 posts"
S_Musokotwane,True,"Minister of Finance & National Planning ( ) in The Republic of Zambia. MP for Liuwa. Husband, Dad, Grandpa, & Economist.",Joined October 2021,61,14.1K,323 posts
Aouchiche2024,False,Premier secrétaire du FFS I Sénateur I Candidat à l'élection présidentielle  2024. Il ne tweete pas en personne.,Joined January 2013,"1,096","2,542","2,329 posts"
YusufTuggar,True,Official Twitter Handle of the 29th Minister of Foreign Affairs . | Fmr. Amb. to Germany (2017-2023). | Tweets are signed ‘YMT’.,Joined January 2012,340,44.1K,"3,450 posts"
MohdHAbdullahi,True,"Official X Handle of the former Hon. Minister of Environment ( ), Former Minister (State) . Personal Tweets are Signed-MHA, retweets NEndmt.",Joined June 2017,608,14.1K,"8,628 posts"
severo13564223,False,"Niefang-Guinea Ecuatorial, 6 de noviembre de 1943. Ex seminarista, Maestro de Primera Enseñanza, Periodista. Presidente del Partido del Progreso de Guinea Ecua.",Joined August 2016,62,104,44 posts
ngurare,True,I work as Prime Minister: Namibia reporting to H.E. President Dr. Netumbo Nandi-Ndaitwah. SOME views expressed hereon are done in my private capacity.,Joined August 2009,"4,721",71.7K,73.3K posts
ChristianNtsay,False,"Christian Ntsay, né le 27 mars 1961 à Diégo-Suarez, est un économiste et homme d'État malgache, Premier ministre depuis le 4 juin 2018.",,205,174,2 posts
askbagbin,False,"This is the official Twitter handle of Rt. Hon. Alban S.K. Bagbin, Speaker, 8th Parliament of the 4th Republic of Ghana.",,11,23.5K,221 posts
elmaalignjaay,True,Président de l’Assemblée Nationale du Sénégal,Joined July 2011,36,159K,"3,902 posts"
VP_Jalloh,True,Hon. Vice President of the Republic of Sierra Leone,Joined April 2020,155,"7,012",256 posts
Khalifab_hafta,False,,,,,
TimKabba,False,Minister of Foreign Affairs and International Cooperation - Republic of Sierra Leone - Responsible for Policy Administration of the Sector.,Joined September 2020,34,"2,102",202 posts
comradesaara,False,Official twitter page of Saara Kuugongelwa-Amadhila Prime Minister of The Republic Of Namibia,Joined September 2022,24,162,74 posts
MusaliaMudavadi,True,Welcome to my official X handle Prime Cabinet Secretary and Cabinet Secretary for Foreign & Diaspora Affairs of the Republic of Kenya.,,212,1.4M,"5,814 posts"
PR_Diomaye,True,Président de la République du Sénégal,,13,330.2K,389 posts
Ministersaleh,False,Minister of Foreign Affairs of the State of Eritrea,Joined September 2016,88,"7,112",21 posts
NJOAgyemang,True,"Official account of H.E. Professor Naana Jane Opoku-Agyemang, Vice President, Republic of Ghana",Joined July 2020,17,154.1K,"1,482 posts"
StateHouse_J1,False,"This official Twitter Account has been created by the authority of H.E. President Salva Kiir Mayardit, to keep in touch with South Sudanese and the world.",,6,10.3K,52 posts
HHichilema,True,President of the Republic of Zambia,Joined October 2012,243,769.1K,12.5K posts
AbiyAhmedAli,True,Prime Minister of the Federal Democratic Republic of Ethiopia,Joined September 2019,0,1.9M,"2,676 posts"
RonaldLamola,True,Official Account of the Minister ¦¦NEC Member ¦¦ Former Minister of Justice and Correctional Services,Joined October 2018,686,194.2K,"3,635 posts"
ramgoolam_dr,True,Prime Minister of Mauritius,Joined March 2021,26,"3,456",34 posts
YassineFall,True,"MINISTRE DE LA JUSTICE, GARDE DES SCEAUX",Joined May 2012,143,29.6K,760 posts
BashirMJ,True,"Official X account of the Minister of , & member of the Federal Parliament of the Federal Republic of Somalia. Retweets aren’t endorsements.",Joined March 2014,48,"2,837",639 posts
shabait,True,"Official Twitter Account of the Ministry of Information, The State of Eritrea",Joined February 2013,23,22.3K,"8,127 posts"
GabrielObiang,False,| Former Minister of Mines & Hydrocarbons of Equatorial Guinea | CEO & Founder of Bioko Consulting & Grupo Molsa |,Joined May 2016,18,25K,18.5K posts
mwigulunchemba1,True,"Minister for Finance, Tanzania | MNEC | MP | Economist | Proud Father |",,343,551.4K,"5,170 posts"
VlavonouLG,False,Profil officiel du Président de l'Assemblée Nationale du Bénin,Joined May 2019,8,98,31 posts
ndabagaolathe,False,AP (Alliance for Progressives) President.,Joined October 2013,254,23.4K,"2,239 posts"
onduhungirehe,True,Minister of Foreign Affairs and International Cooperation of the Republic of Rwanda,,871,251.5K,60.7K posts
IsmailOguelleh,True,"Compte officiel d'Ismail Omar Guelleh, Président de la République de .",Joined May 2015,5,135.4K,901 posts
Drriekmachar,False,Official twitter account of the first Vice President of South Sudan.,Joined April 2011,9,25.4K,125 posts
oliguinguema,True,"Président de la République Gabonaise, Chef de l’État.",Joined September 2023,8,20.7K,423 posts
JohnMbadiN,False,"Cabinet Secretary, The National Treasury and Economic Planning.",Joined August 2024,247,"5,126",390 posts
yasminefoud,False,Egypt’s Minister of Environment & Ministerial Coordinator & Envoy,Joined November 2022,1,116,0 posts
MatiaK5,False,"Minister of Finance,Planning & Economic Development, Republic of Uganda.Member of Parliament, Buyanja County,Kibaale District",Joined January 2019,51,93.8K,626 posts
HNdobaOfficiel,False,Ministre des Finances et du Budget de la République . Amoureux & Passionné de l' .,Joined April 2022,39,"1,028",75 posts
